time,open,high,low,close,Volume,ATR
1737331200,0.9923,0.9931,0.9814,0.9817,958274,NaN
1737331320,0.9817,0.9817,0.9733,0.9782,291612,NaN
1737331440,0.9782,0.9914,0.9732,0.989,187007,NaN
1737331560,0.989,0.9915,0.9828,0.9909,119935,NaN
1737331680,0.9909,0.992,0.9846,0.9848,167935,NaN
1737331800,0.9848,0.9906,0.9823,0.9902,191698,NaN
1737331920,0.9902,0.9902,0.9805,0.9809,42738,NaN
1737332040,0.9809,0.989,0.9809,0.9869,79584,NaN
1737332160,0.9869,0.9869,0.9781,0.9856,135445,NaN
1737332280,0.9856,0.9856,0.976,0.976,32480,NaN
1737332400,0.976,0.982,0.9701,0.982,172748,NaN
1737332520,0.982,0.9891,0.9807,0.9865,99690,NaN
1737332640,0.9865,0.9904,0.9842,0.99,79973,NaN
1737332760,0.99,0.9938,0.9865,0.9868,93735,0.009478571428571423
1737332880,0.9868,0.9868,0.9814,0.9824,134847,0.009187244897959175
1737333000,0.9824,0.9825,0.9744,0.9802,199101,0.009109584548104946
1737333120,0.9802,0.9884,0.9801,0.9858,106897,0.009051757080383162
1737333240,0.9858,0.9858,0.9799,0.9823,26841,0.00882663157464151
1737333360,0.9823,0.9854,0.9762,0.9774,36117,0.008853300747881408
1737333480,0.9774,0.9774,0.9662,0.9704,632873,0.009020922123032741
1737333600,0.9704,0.9762,0.9661,0.9756,589932,0.009097999114244689
1737333720,0.9756,0.9858,0.9733,0.985,207604,0.009340999177512922
1737333840,0.985,0.9854,0.9772,0.9787,167837,0.009259499236262006
1737333960,0.9787,0.9793,0.9644,0.9669,254501,0.00966239214795757
1737334080,0.9669,0.9693,0.9609,0.9611,500300,0.00957222128024632
1737334200,0.9611,0.9778,0.9609,0.9749,179999,0.010095634045943014
1737334320,0.9749,0.9797,0.9687,0.9794,237736,0.010160231614089943
1737334440,0.9794,0.9801,0.9689,0.9696,42221,0.010234500784512088
1737334560,0.9696,0.9729,0.9662,0.9662,115321,0.009982036442761228
1737334680,0.9662,0.9688,0.9618,0.9618,122207,0.009769033839706856
1737334800,0.9618,0.9707,0.9618,0.9705,400869,0.00970695999401351
1737334920,0.9705,0.9787,0.9698,0.9746,115976,0.009649319994441118
1737335040,0.9746,0.976,0.9689,0.9711,81435,0.009467225709123894
1737335160,0.9711,0.9812,0.9702,0.9795,79043,0.009576709587043616
1737335280,0.9795,0.9832,0.9772,0.9779,90231,0.009321230330826215
1737335400,0.9779,0.9854,0.9759,0.9839,95814,0.009333999592910062
1737335520,0.9839,0.985,0.98,0.9821,54623,0.009024428193416487
1737335640,0.9821,0.9866,0.9804,0.986,133575,0.008822683322458166
1737335760,0.986,0.9864,0.9769,0.978,59514,0.00887106308513973
1737335880,0.978,0.9826,0.9774,0.9794,24468,0.008608844293344034
1737336000,0.9794,0.9795,0.9716,0.9751,61282,0.008558212558105176
1737336120,0.9751,0.9801,0.9727,0.9785,28548,0.008475483089669089
1737336240,0.9785,0.9789,0.9733,0.975,25175,0.008270091440407006
1737336360,0.975,0.9796,0.9742,0.9788,29564,0.008065084908949369
1737336480,0.9788,0.9828,0.9778,0.9784,68901,0.007846150272595843
1737336600,0.9784,0.9807,0.975,0.9774,66535,0.007692853824553285
1737336720,0.9774,0.9814,0.9735,0.9804,79166,0.007707649979942338
1737336840,0.9804,0.9866,0.98,0.9864,66638,0.007628532124232174
1737336960,0.9864,0.9891,0.9856,0.9886,91368,0.007333636972501301
1737337080,0.9886,0.9917,0.9862,0.9862,367578,0.007202662903036927
1737337200,0.9862,0.9868,0.9843,0.9849,17789,0.006866758409962865
1737337320,0.9849,0.9849,0.9787,0.9789,222600,0.00681913280925123
1737337440,0.9789,0.9794,0.9762,0.977,67809,0.006560623322876148
1737337560,0.977,0.9799,0.9755,0.9799,19045,0.006406293085527849
1737337680,0.9799,0.98,0.976,0.9765,45736,0.006234415007990145
1737337800,0.9765,0.9767,0.9699,0.9699,69586,0.006274813935990851
1737337920,0.9699,0.9769,0.9691,0.9742,33828,0.006383755797705793
1737338040,0.9742,0.9767,0.9727,0.9758,44453,0.006213487526441094
1737338160,0.9758,0.9796,0.9758,0.9786,36738,0.006041095560266732
1737338280,0.9786,0.9822,0.9781,0.9822,9072,0.005902445877390536
1737338400,0.9822,0.9866,0.9805,0.9863,37055,0.005916556886148354
1737338520,0.9863,0.9981,0.9854,0.9904,260364,0.006401088537137753
1737338640,0.9904,0.9938,0.9904,0.9923,133431,0.006186725070199346
1737338760,0.9923,0.9944,0.9901,0.9929,44649,0.006051958993756533
1737338880,0.9929,0.9954,0.9915,0.9915,42718,0.005898247637059631
1737339000,0.9915,0.9962,0.9915,0.9937,124422,0.005812658520126795
1737339120,0.9937,0.9949,0.9929,0.9939,44323,0.005540325768689167
1737339240,0.9939,0.9959,0.9919,0.9959,24075,0.005430302499497083
1737339360,0.9959,0.9975,0.9954,0.996,48904,0.005192423749533013
1737339480,0.996,0.9994,0.996,0.9991,132223,0.005064393481709223
1737339600,0.9991,1.0007,0.9974,0.9983,51976,0.004938365375872848
1737339720,0.9983,1.0029,0.998,1.0022,3777193,0.004935624991881923
1737339840,1.0022,1.0031,0.9989,1.0007,233020,0.00488308034960465
1737339960,1.0007,1.0031,1,1.0025,29310,0.004755717467490039
1737340080,1.0025,1.0044,1,1.0044,62906,0.004730309076955034
1737340200,1.0044,1.0048,0.9999,1.0041,36807,0.004742429857172524
1737340320,1.0041,1.0072,1.0019,1.0065,135937,0.004782256295945921
1737340440,1.0065,1.0109,1.0063,1.0098,52319,0.004769237989092637
1737340560,1.0098,1.0102,1.0043,1.0075,120123,0.00485000670415745
1737340680,1.0075,1.0075,1.0005,1.0033,191152,0.005003577653860497
1737340800,1.0033,1.0033,0.9974,0.9999,318466,0.0050676078214419
1737340920,0.9999,1.0004,0.9952,0.9979,90278,0.005077064405624621
1737341040,0.9979,0.9981,0.9938,0.9972,90277,0.005021559805222861
1737341160,0.9972,0.999,0.995,0.999,65002,0.004948591247706942
1737341280,0.999,1.0008,0.9978,1.0006,300411,0.00480940615858501
