time,open,high,low,close,Volume,ATR
1737331200,101305.2,101311.8,100773.8,100886.2,2242.487,NaN
1737331320,100886.2,101078.4,100626,101035.3,1025.384,NaN
1737331440,101035.3,101485.3,100755.8,101444.1,884.543,NaN
1737331560,101444.1,101580,101267.5,101542.3,1242.763,NaN
1737331680,101542.3,101637,101199.6,101199.7,329.421,NaN
1737331800,101199.7,101421.1,100938,101373.8,535.821,NaN
1737331920,101373.8,101457.9,101029.7,101056,681.14,NaN
1737332040,101056,101468,101056,101447.8,375.113,NaN
1737332160,101447.8,101452.1,101005.1,101333.6,178.931,NaN
1737332280,101333.6,101358,100973.8,101024.2,138.73,NaN
1737332400,101024.2,101024.2,100659.8,100908,505.051,NaN
1737332520,100908,101299.9,100832.1,101274.4,363.184,NaN
1737332640,101274.4,101488,101161.8,101487.9,302.338,NaN
1737332760,101487.9,101509.4,101201.6,101237.1,244.151,435.03571428571115
1737332880,101237.1,101242,100932.4,101041.4,379.693,426.0760204081608
1737333000,101041.4,101041.4,100666.6,100832.8,267.287,422.4134475218628
1737333120,100832.8,101181.8,100827.5,101149.1,894.818,417.5482012703014
1737333240,101149.1,101149.1,100700,100701.1,225.148,419.80190117956596
1737333360,100701.1,100944.1,100413.9,100438.7,205.456,427.68747966674067
1737333480,100438.7,100449.8,99777.6,99924.2,1371.367,445.1526596905447
1737333600,99924.2,100303.9,99501,100285.1,2244.599,470.7060411412196
1737333720,100285.1,100844,100203.1,100743.8,1062.786,482.8627524882749
1737333840,100743.8,100823.6,100296.9,100310.5,1119.06,485.9939844533989
1737333960,100310.5,100311.5,99700,99725.5,597.324,494.9586998495847
1737334080,99725.5,99980.9,99612.5,99704.1,1247.86,485.91879271747115
1737334200,99704.1,100465,99667.3,100298.4,847.798,508.1888789519373
1737334320,100298.4,100354,99984.1,100300.1,670.16,498.3111018839413
1737334440,100300.1,100367.7,99805.7,99869.4,275.094,502.8603088922312
1737334560,99869.4,100053.8,99755.1,99835.5,416.199,488.2774296856431
1737334680,99835.5,100095.1,99756.1,99762.4,240.114,477.61475613666863
1737334800,99762.4,99985,99619.6,99828.6,402.58,469.5994164126205
1737334920,99828.6,100150.9,99751.4,99891.9,374.329,464.5923152402905
1737335040,99891.9,99950.2,99603,99807.8,1088.887,456.2071498659838
1737335160,99807.8,100236.8,99629.2,100143.5,936.527,467.02092487555683
1737335280,100143.5,100450,100127.8,100212.8,651.334,456.6765730987311
1737335400,100212.8,100380.1,99900,100082.8,410.084,458.34967502025074
1737335520,100082.8,100250.6,99970.8,100049.1,1801.263,445.59612680451875
1737335640,100049.1,100429.5,99920,100414.3,800.189,450.16068917562455
1737335760,100414.3,100425.2,99921.7,99929.4,669.01,453.9706399487942
1737335880,99929.4,100187.1,99884.9,100159.4,213.586,443.1298799524526
1737336000,100159.4,100159.4,99720,99844.5,918.927,442.86345995584844
1737336120,99844.5,100160.2,99750.3,100143.6,604.252,440.50892710185883
1737336240,100143.6,100169.9,99972,100004.3,170.412,423.17971802315424
1737336360,100004.3,100199.9,99984,100178.7,128.673,408.3740238786428
1737336480,100178.7,100460.4,100115,100282.3,1224.222,403.8758793158822
1737336600,100282.3,100617.6,100235.6,100365.3,333.116,402.31331650760484
1737336720,100365.3,100408.5,100080.3,100379.8,440.918,397.01950818563284
1737336840,100379.8,100947.8,100350,100895.6,635.508,411.3609718866593
1737336960,100895.6,100957.5,100672.2,100925,866.443,402.3566167518981
1737337080,100925,100950,100595.8,100622.8,474.526,398.91685841247664
1737337200,100622.8,100676.2,100463.5,100463.5,312.246,385.6156542401567
1737337320,100463.5,100466.5,100017,100052.4,884.907,390.1788217944312
1737337440,100052.4,100145,99921.5,100134.4,267.552,378.2731916662575
1737337560,100134.4,100422.1,100100.4,100420.2,202.573,374.2322494043828
1737337680,100420.2,100566.3,100255,100333.3,217.854,369.7370887326414
