time,open,high,low,close,Volume,ATR
1737331200,25.409,25.427,25.214,25.223,4141,NaN
1737331320,25.223,25.223,25.055,25.177,2281,NaN
1737331440,25.177,25.414,25.105,25.383,780,NaN
1737331560,25.383,25.422,25.251,25.417,1833,NaN
1737331680,25.417,25.47,25.346,25.358,431,NaN
1737331800,25.358,25.454,25.253,25.454,331,NaN
1737331920,25.454,25.454,25.263,25.267,818,NaN
1737332040,25.267,25.469,25.267,25.407,223,NaN
1737332160,25.407,25.415,25.247,25.386,166,NaN
1737332280,25.386,25.386,25.199,25.199,247,NaN
1737332400,25.199,25.275,25.084,25.275,799,NaN
1737332520,25.275,25.392,25.241,25.289,413,NaN
1737332640,25.289,25.419,25.289,25.393,170,NaN
1737332760,25.393,25.395,25.241,25.241,230,0.18285714285714252
1737332880,25.241,25.259,25.171,25.178,131,0.17608163265306098
1737333000,25.178,25.182,25.014,25.081,780,0.1755043731778423
1737333120,25.081,25.275,25.081,25.221,533,0.17682548937942494
1737333240,25.221,25.232,25.084,25.16,253,0.17476652585232313
1737333360,25.16,25.201,24.999,25.073,278,0.17671177400572874
1737333480,25.073,25.073,24.826,24.94,2234,0.1817323615767481
1737333600,24.94,25.04,24.794,25.039,3135,0.18632290717840888
1737333720,25.039,25.209,24.961,25.195,613,0.1907284138085226
1737333840,25.195,25.21,25.044,25.112,2599,0.1889620985364853
1737333960,25.112,25.112,24.807,24.841,1819,0.19725052006959348
1737334080,24.841,24.883,24.702,24.769,1068,0.1960897686360509
1737334200,24.769,25.094,24.732,25.027,463,0.2079404994477617
1737334320,25.027,25.131,24.909,25.131,227,0.20894474948720737
1737334440,25.131,25.131,24.892,24.892,823,0.21109155309526403
1737334560,24.892,24.964,24.85,24.871,733,0.20415644215988782
1737334680,24.871,24.919,24.793,24.814,245,0.19857383914846732
1737334800,24.814,24.953,24.803,24.924,207,0.195104279209291
1737334920,24.924,25.076,24.923,24.977,254,0.1920968306943418
1737335040,24.977,25.025,24.811,24.882,1060,0.19366134278760302
1737335160,24.882,25.044,24.859,25.044,269,0.1930426754456313
1737335280,25.044,25.165,25.038,25.055,1391,0.188325341485229
1737335400,25.055,25.148,25.008,25.125,204,0.18487353137914125
1737335520,25.125,25.145,25.056,25.056,252,0.1780254219949168
1737335640,25.056,25.196,25.029,25.185,25,0.17723789185242286
1737335760,25.185,25.185,25.002,25.021,831,0.1776494710058212
1737335880,25.021,25.151,25.005,25.096,113,0.17538879450540548
