time,open,high,low,close,Volume,ATR
1737331200,3214.05,3218.18,3193.43,3198,51133.32,NaN
1737331320,3198,3205.52,3181.08,3203.69,24442.88,NaN
1737331440,3203.69,3221.25,3194.19,3217.72,28513.66,NaN
1737331560,3217.72,3223.94,3206.01,3221.86,32364.5,NaN
1737331680,3221.86,3225.58,3206.92,3207.3,11352.78,NaN
1737331800,3207.3,3217.96,3198.08,3216.15,8808.74,NaN
1737331920,3216.15,3217.41,3198.61,3200.01,7292.72,NaN
1737332040,3200.01,3219.46,3200.01,3217.58,3568.41,NaN
1737332160,3217.58,3217.58,3196.67,3210.09,5749.19,NaN
1737332280,3210.09,3210.61,3191.04,3191.24,13960.98,NaN
1737332400,3191.24,3199.39,3182.05,3199.39,9537.32,NaN
1737332520,3199.39,3208.85,3195.69,3202.41,15723.66,NaN
1737332640,3202.41,3209.87,3198.27,3209.87,2456.13,NaN
1737332760,3209.87,3209.88,3190.58,3191.86,2248.34,19.489285714285643
1737332880,3191.86,3193.19,3181.08,3185.01,10319.52,18.962193877550963
1737333000,3185.01,3185.05,3170,3180.41,11446.72,18.68275145772591
1737333120,3180.41,3201.25,3180.41,3199.94,11222.01,18.83684063931693
1737333240,3199.94,3199.94,3183.74,3188.81,4110.27,18.648494879365735
1737333360,3188.81,3198.08,3175.3,3177.2,1818.59,18.943602387982448
1737333480,3177.2,3177.67,3155,3170.4,24854.06,19.20977364598371
1737333600,3170.4,3181.65,3157,3180.23,42474.18,19.598361242699166
1737333720,3180.23,3198.5,3173.23,3196.11,24616.61,20.003478296792082
1737333840,3196.11,3198.19,3178.86,3184.15,13559.74,19.95537270416407
1737333960,3184.15,3185.03,3145.26,3147.91,23679.61,21.37070322529521
1737334080,3147.91,3162.57,3142.15,3153.35,46208.79,21.30279585205984
1737334200,3153.35,3184.91,3150.86,3179.19,36510.15,22.213310434055547
1737334320,3179.19,3187.27,3167,3182.1,15590.84,22.07450254590872
1737334440,3182.1,3186.8,3163.94,3168.4,12306.47,22.13060950691525
1737334560,3168.4,3175.59,3162.94,3168.8,15019.97,21.453423113564163
1737334680,3168.8,3180.57,3166.96,3169.89,17063.75,20.893178605452448
1737334800,3169.89,3183,3164.97,3180.59,11100.83,20.688665847920145
1737334920,3180.59,3195.15,3179.69,3186.05,8350.86,20.31518971592585
1737335040,3186.05,3192.17,3174.72,3182.44,6320.52,20.11053330764545
1737335160,3182.44,3200,3178.47,3197.89,5897.69,20.21192378567079
1737335280,3197.89,3211.05,3195.81,3199.02,6661.68,19.85678637240861
1737335400,3199.02,3208.33,3189.45,3202.21,5341.02,19.787015917236573
1737335520,3202.21,3206.86,3195.64,3195.84,12226.37,19.17508620886255
1737335640,3195.84,3211.78,3193.34,3211.45,7407.06,19.122580051086654
1737335760,3211.45,3211.45,3193.07,3195.22,2467.59,19.069538618866154
1737335880,3195.22,3203.99,3191,3198.41,1862.73,18.635285860375696
1737336000,3198.41,3198.41,3174,3181.04,6344.76,19.047765441777422
1737336120,3181.04,3198.87,3176.34,3197.19,6925.63,19.296496481650447
1737336240,3197.19,3198.59,3185.9,3186.24,2427.17,18.824603875818273
1737336360,3186.24,3200.84,3184.16,3198.39,2500.82,18.671417884688417
1737336480,3198.39,3202.58,3193.12,3194.58,2122.88,18.013459464353534
1737336600,3194.58,3202.18,3188.48,3190.96,5829.3,17.705355216899697
1737336720,3190.96,3201.2,3183.78,3200.79,10256.95,17.684972701406835
1737336840,3200.79,3213.99,3199.52,3213.24,7341.87,17.455331794163474
1737336960,3213.24,3216.35,3209.44,3216.2,5735.89,16.702093808866074
1737337080,3216.2,3219.62,3206.55,3207.21,2488.13,16.442658536804192
1737337200,3207.21,3209.56,3201.78,3201.78,2460.07,15.823897212746731
1737337320,3201.78,3201.78,3183.7,3184.32,6020.35,15.985047411836277
1737337440,3184.32,3186.98,3178.54,3186.47,3793.75,15.446115453847975
1737337560,3186.47,3196.16,3182,3195.99,4884.36,15.354250064287395
